time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency,SNR
1,0,0,2,0,0,0,R3,cs,0,0,9,25.44
2,0,0,2,0,0,0,R3,cs,0,0,9,25.44
3,0,0,2,0,0,0,R3,cs,0,0,9,25.44
4,0,0,2,0,0,0,R3,cs,0,0,9,25.44
5,0,0,2,0,0,0,R3,cs,0,0,9,25.44
6,0,0,2,0,0,0,R3,cs,0,0,9,25.44
7,0,0,2,0,0,0,R3,cs,0,0,9,25.44
8,0,0,2,0,0,0,R3,cs,0,0,9,25.44
9,0,0,2,0,0,0,R3,cs,0,0,9,25.44
10,0,0,2,0,0,0,R3,cs,0,0,9,25.44
11,0,0,2,0,0,0,R3,cs,0,0,9,25.44
12,0,0,2,0,0,0,R3,cs,0,0,9,25.44
13,0,0,2,0,0,0,R3,cs,0,0,9,25.44
14,0,0,2,0,0,0,R3,cs,0,0,9,25.44
15,0,0,2,0,0,0,R3,cs,0,0,9,25.44
16,0,0,2,0,0,0,R3,cs,0,0,9,25.44
17,0,0,2,0,0,0,R3,cs,0,0,9,25.44
18,0,0,2,0,0,0,R3,cs,0,0,9,25.44
19,0,0,2,0,0,0,R3,cs,0,0,9,25.44
20,0,0,2,0,0,0,R3,cs,0,0,9,25.44
21,0,0,2,0,0,0,R3,cs,0,0,9,25.44
22,0,0,2,0,0,0,R3,cs,0,0,9,25.44
23,0,0,2,0,0,0,R3,cs,0,0,9,25.44
24,0,0,2,0,0,0,R3,cs,0,0,9,25.44
25,0,0,2,0,0,0,R3,cs,0,0,9,25.44
26,0,0,2,0,0,0,R3,cs,0,0,9,25.44
27,0,0,2,0,0,0,R3,cs,0,0,9,25.44
28,0,0,2,0,0,0,R3,cs,0,0,9,25.44
29,0,0,2,0,0,0,R3,cs,0,0,9,25.44
30,0,0,2,0,0,0,R3,cs,0,0,9,25.44
31,0,0,2,0,0,0,R3,cs,0,0,9,25.44
32,0,0,2,0,0,0,R3,cs,0,0,9,25.44
33,0,0,2,0,0,0,R3,cs,0,0,9,25.44
34,0,0,2,0,0,0,R3,cs,0,0,9,25.44
35,0,0,2,0,0,0,R3,cs,0,0,9,25.44
36,0,0,2,0,0,0,R3,cs,0,0,9,25.44
37,0,0,2,0,0,0,R3,cs,0,0,9,25.44
38,0,0,2,0,0,0,R3,cs,0,0,9,25.44
39,0,0,2,0,0,0,R3,cs,0,0,9,25.44
40,0,0,2,0,0,0,R3,cs,0,0,9,25.44
41,0,0,2,0,0,0,R3,cs,0,0,9,25.44
42,0,0,2,0,0,0,R3,cs,0,0,9,25.44
43,0,0,2,0,0,0,R3,cs,0,0,9,25.44
44,0,0,2,0,0,0,R3,cs,0,0,9,25.44
45,0,0,2,0,0,0,R3,cs,0,0,9,25.44
46,0,0,2,0,0,0,R3,cs,0,0,9,25.44
47,0,0,2,0,0,0,R3,cs,0,0,9,25.44
48,0,0,2,0,0,0,R3,cs,0,0,9,25.44
49,0,0,2,0,0,0,R3,cs,0,0,9,25.44
50,0,0,2,0,0,0,R3,cs,0,0,9,25.44
51,0,0,2,0,0,0,R3,cs,0,0,9,25.44
52,0,0,2,0,0,0,R3,cs,0,0,9,25.44
53,0,0,2,0,0,0,R3,cs,0,0,9,25.44
54,0,0,2,0,0,0,R3,cs,0,0,9,25.44
55,0,0,2,0,0,0,R3,cs,0,0,9,25.44
56,0,0,2,0,0,0,R3,cs,0,0,9,25.44
57,0,0,2,0,0,0,R3,cs,0,0,9,25.44
58,0,0,2,0,0,0,R3,cs,0,0,9,25.44
59,0,0,2,0,0,0,R3,cs,0,0,9,25.44
60,0,0,2,0,0,0,R3,cs,0,0,9,25.44
61,0,0,2,0,0,0,R3,cs,0,0,9,25.44
62,0,0,2,0,0,0,R3,cs,0,0,9,25.44
63,0,0,2,0,0,0,R3,cs,0,0,9,25.44
64,0,0,2,0,0,0,R3,cs,0,0,9,25.44
65,0,0,2,0,0,0,R3,cs,0,0,9,25.44
66,0,0,2,0,0,0,R3,cs,0,0,9,25.44
67,0,0,2,0,0,0,R3,cs,0,0,9,25.44
68,0,0,2,0,0,0,R3,cs,0,0,9,25.44
69,0,0,2,0,0,0,R3,cs,0,0,9,25.44
70,0,0,2,0,0,0,R3,cs,0,0,9,25.44
71,0,0,2,0,0,0,R3,cs,0,0,9,25.44
72,0,0,2,0,0,0,R3,cs,0,0,9,25.44
73,0,0,2,0,0,0,R3,cs,0,0,9,25.44
74,0,0,2,0,0,0,R3,cs,0,0,9,25.44
75,0,0,2,0,0,0,R3,cs,0,0,9,25.44
76,0,0,2,0,0,0,R3,cs,0,0,9,25.44
77,0,0,2,0,0,0,R3,cs,0,0,9,25.44
78,0,0,2,0,0,0,R3,cs,0,0,9,25.44
79,0,0,2,0,0,0,R3,cs,0,0,9,25.44
80,0,0,2,0,0,0,R3,cs,0,0,9,25.44
81,0,0,2,0,0,0,R3,cs,0,0,9,25.44
82,0,0,2,0,0,0,R3,cs,0,0,9,25.44
83,0,0,2,0,0,0,R3,cs,0,0,9,25.44
84,0,0,2,0,0,0,R3,cs,0,0,9,25.44
85,0,0,2,0,0,0,R3,cs,0,0,9,25.44
86,0,0,2,0,0,0,R3,cs,0,0,9,25.44
87,0,0,2,0,0,0,R3,cs,0,0,9,25.44
88,0,0,2,0,0,0,R3,cs,0,0,9,25.44
89,0,0,2,0,0,0,R3,cs,0,0,9,25.44
90,0,0,2,0,0,0,R3,cs,0,0,9,25.44
91,0,0,2,0,0,0,R3,cs,0,0,9,25.44
92,0,0,2,0,0,0,R3,cs,0,0,9,25.44
93,0,0,2,0,0,0,R3,cs,0,0,9,25.44
94,0,0,2,0,0,0,R3,cs,0,0,9,25.44
95,0,0,2,0,0,0,R3,cs,0,0,9,25.44
96,0,0,2,0,0,0,R3,cs,0,0,9,25.44
97,0,0,2,0,0,0,R3,cs,0,0,9,25.44
98,0,0,2,0,0,0,R3,cs,0,0,9,25.44
99,0,0,2,0,0,0,R3,cs,0,0,9,25.44
100,0,0,2,0,0,0,R3,cs,0,0,9,25.44
101,0,0,0,2,0,0,R4,cs,0,0,18,26.53
102,0,0,0,2,0,0,R4,cs,0,0,18,26.53
103,0,0,0,2,0,0,R4,cs,0,0,18,26.53
104,0,0,0,2,0,0,R4,cs,0,0,18,26.53
105,0,0,0,2,0,0,R4,cs,0,0,18,26.53
106,0,0,0,2,0,0,R4,cs,0,0,18,26.53
107,0,0,0,2,0,0,R4,cs,0,0,18,26.53
108,0,0,0,2,0,0,R4,cs,0,0,18,26.53
109,0,0,0,2,0,0,R4,cs,0,0,18,26.53
110,0,0,0,2,0,0,R4,cs,0,0,18,26.53
111,0,0,0,2,0,0,R4,cs,0,0,18,26.53
112,0,0,0,2,0,0,R4,cs,0,0,18,26.53
113,0,0,0,2,0,0,R4,cs,0,0,18,26.53
114,0,0,0,2,0,0,R4,cs,0,0,18,26.53
115,0,0,0,2,0,0,R4,cs,0,0,18,26.53
116,0,0,0,2,0,0,R4,cs,0,0,18,26.53
117,0,0,0,2,0,0,R4,cs,0,0,18,26.53
118,0,0,0,2,0,0,R4,cs,0,0,18,26.53
119,0,0,0,2,0,0,R4,cs,0,0,18,26.53
120,0,0,0,2,0,0,R4,cs,0,0,18,26.53
121,0,0,0,2,0,0,R4,cs,0,0,18,26.53
122,0,0,0,2,0,0,R4,cs,0,0,18,26.53
123,0,0,0,2,0,0,R4,cs,0,0,18,26.53
124,0,0,0,2,0,0,R4,cs,0,0,18,26.53
125,0,0,0,2,0,0,R4,cs,0,0,18,26.53
126,0,0,0,2,0,0,R4,cs,0,0,18,26.53
127,0,0,0,2,0,0,R4,cs,0,0,18,26.53
128,0,0,0,2,0,0,R4,cs,0,0,18,26.53
129,0,0,0,2,0,0,R4,cs,0,0,18,26.53
130,0,0,0,2,0,0,R4,cs,0,0,18,26.53
131,0,0,0,2,0,0,R4,cs,0,0,18,26.53
132,0,0,0,2,0,0,R4,cs,0,0,18,26.53
133,0,0,0,2,0,0,R4,cs,0,0,18,26.53
134,0,0,0,2,0,0,R4,cs,0,0,18,26.53
135,0,0,0,2,0,0,R4,cs,0,0,18,26.53
136,0,0,0,2,0,0,R4,cs,0,0,18,26.53
137,0,0,0,2,0,0,R4,cs,0,0,18,26.53
138,0,0,0,2,0,0,R4,cs,0,0,18,26.53
139,0,0,0,2,0,0,R4,cs,0,0,18,26.53
140,0,0,0,2,0,0,R4,cs,0,0,18,26.53
141,0,0,0,2,0,0,R4,cs,0,0,18,26.53
142,0,0,0,2,0,0,R4,cs,0,0,18,26.53
143,0,0,0,2,0,0,R4,cs,0,0,18,26.53
144,0,0,0,2,0,0,R4,cs,0,0,18,26.53
145,0,0,0,2,0,0,R4,cs,0,0,18,26.53
146,0,0,0,2,0,0,R4,cs,0,0,18,26.53
147,0,0,0,2,0,0,R4,cs,0,0,18,26.53
148,0,0,0,2,0,0,R4,cs,0,0,18,26.53
149,0,0,0,2,0,0,R4,cs,0,0,18,26.53
150,0,0,0,2,0,0,R4,cs,0,0,18,26.53
151,0,0,0,0,2,0,R5,cs,0,0,27,26.53
152,0,0,0,0,2,0,R5,cs,0,0,27,26.53
153,0,0,0,0,2,0,R5,cs,0,0,27,26.53
154,0,0,0,0,2,0,R5,cs,0,0,27,26.53
155,0,0,0,0,2,0,R5,cs,0,0,27,26.53
156,0,0,0,0,2,0,R5,cs,0,0,27,26.53
157,0,0,0,0,2,0,R5,cs,0,0,27,26.53
158,0,0,0,0,2,0,R5,cs,0,0,27,26.53
159,0,0,0,0,2,0,R5,cs,0,0,27,26.53
160,0,0,0,0,2,0,R5,cs,0,0,27,26.53
161,0,0,0,0,2,0,R5,cs,0,0,27,26.53
162,0,0,0,0,2,0,R5,cs,0,0,27,26.53
163,0,0,0,0,2,0,R5,cs,0,0,27,26.53
164,0,0,0,0,2,0,R5,cs,0,0,27,26.53
165,0,0,0,0,2,0,R5,cs,0,0,27,26.53
166,0,0,0,0,2,0,R5,cs,0,0,27,26.53
167,0,0,0,0,2,0,R5,cs,0,0,27,26.53
168,0,0,0,0,2,0,R5,cs,0,0,27,26.53
169,0,0,0,0,2,0,R5,cs,0,0,27,26.53
170,0,0,0,0,2,0,R5,cs,0,0,27,26.53
171,0,0,0,0,2,0,R5,cs,0,0,27,26.53
172,0,0,0,0,2,0,R5,cs,0,0,27,26.53
173,0,0,0,0,2,0,R5,cs,0,0,27,26.53
174,0,0,0,0,2,0,R5,cs,0,0,27,26.53
175,0,0,0,0,2,0,R5,cs,0,0,27,26.53
176,0,0,0,0,0,2,R6,cs,0,0,27,26.53
177,0,0,0,0,0,2,R6,cs,0,0,27,26.53
178,0,0,0,0,0,2,R6,cs,0,0,27,26.53
179,0,0,0,0,0,2,R6,cs,0,0,27,26.53
180,0,0,0,0,0,2,R6,cs,0,0,27,26.53
181,0,0,0,0,0,2,R6,cs,0,0,27,26.53
182,0,0,0,0,0,2,R6,cs,0,0,27,26.53
183,0,0,0,0,0,2,R6,cs,0,0,27,26.53
184,0,0,0,0,0,2,R6,cs,0,0,27,26.53
185,0,0,0,0,0,2,R6,cs,0,0,27,26.53
186,0,0,0,0,0,2,R6,cs,0,0,27,26.53
187,0,0,0,0,0,2,R6,cs,0,0,27,26.53
188,0,0,0,0,0,2,R6,cs,0,0,27,26.53
189,0,0,0,0,0,2,R6,cs,0,0,27,26.53
190,0,0,0,0,0,2,R6,cs,0,0,27,26.53
191,0,0,0,0,0,2,R6,cs,0,0,27,26.53
192,0,0,0,0,0,2,R6,cs,0,0,27,26.53
193,0,0,0,0,0,2,R6,cs,0,0,27,26.53
194,0,0,0,0,0,2,R6,cs,0,0,27,26.53
195,0,0,0,0,0,2,R6,cs,0,0,27,26.53
196,0,0,0,0,0,2,R6,cs,0,0,27,26.53
197,0,0,0,0,0,2,R6,cs,0,0,27,26.53
198,0,0,0,0,0,2,R6,cs,0,0,27,26.53
199,0,0,0,0,0,2,R6,cs,0,0,27,26.53
200,0,0,0,0,0,2,R6,cs,0,0,27,26.53
201,0,0,0,0,0,2,R6,cs,0,0,27,26.53
202,0,0,0,0,0,2,R6,cs,0,0,27,26.53
203,0,0,0,0,0,2,R6,cs,0,0,27,26.53
204,0,0,0,0,0,2,R6,cs,0,0,27,26.53
205,0,0,0,0,0,2,R6,cs,0,0,27,26.53
206,0,0,0,0,0,2,R6,cs,0,0,27,26.53
207,0,0,0,0,0,2,R6,cs,0,0,27,26.53
208,0,0,0,0,0,2,R6,cs,0,0,27,26.53
209,0,0,0,0,0,2,R6,cs,0,0,27,26.53
210,0,0,0,0,0,2,R6,cs,0,0,27,26.53
211,0,0,0,0,0,2,R6,cs,0,0,27,26.53
212,0,0,0,0,0,2,R6,cs,0,0,27,26.53
213,0,0,0,0,0,2,R6,cs,0,0,27,26.53
214,0,0,0,0,0,2,R6,cs,0,0,27,26.53
215,0,0,0,0,0,2,R6,cs,0,0,27,26.53
216,0,0,0,0,0,2,R6,cs,0,0,27,26.53
217,0,0,0,0,0,2,R6,cs,0,0,27,26.53
218,0,0,0,0,0,2,R6,cs,0,0,27,26.53
219,0,0,0,0,0,2,R6,cs,0,0,27,26.53
220,0,0,0,0,0,2,R6,cs,0,0,27,26.53
221,0,0,0,0,0,2,R6,cs,0,0,27,26.53
222,0,0,0,0,0,2,R6,cs,0,0,27,26.53
223,0,0,0,0,0,2,R6,cs,0,0,27,26.53
224,0,0,0,0,0,2,R6,cs,0,0,27,26.53
225,0,0,0,0,0,2,R6,cs,0,0,27,26.53
226,0,0,0,0,2,0,R5,cs,0,0,27,26.53
227,0,0,0,0,2,0,R5,cs,0,0,27,26.53
228,0,0,0,0,2,0,R5,cs,0,0,27,26.53
229,0,0,0,0,2,0,R5,cs,0,0,27,26.53
230,0,0,0,0,2,0,R5,cs,0,0,27,26.53
231,0,0,0,0,2,0,R5,cs,0,0,27,26.53
232,0,0,0,0,2,0,R5,cs,0,0,27,26.53
233,0,0,0,0,2,0,R5,cs,0,0,27,26.53
234,0,0,0,0,2,0,R5,cs,0,0,27,26.53
235,0,0,0,0,2,0,R5,cs,0,0,27,26.53
236,0,0,0,0,2,0,R5,cs,0,0,27,26.53
237,0,0,0,0,2,0,R5,cs,0,0,27,26.53
238,0,0,0,0,2,0,R5,cs,0,0,27,26.53
239,0,0,0,0,2,0,R5,cs,0,0,27,26.53
240,0,0,0,0,2,0,R5,cs,0,0,27,26.53
241,0,0,0,0,2,0,R5,cs,0,0,27,26.53
242,0,0,0,0,2,0,R5,cs,0,0,27,26.53
243,0,0,0,0,2,0,R5,cs,0,0,27,26.53
244,0,0,0,0,2,0,R5,cs,0,0,27,26.53
245,0,0,0,0,2,0,R5,cs,0,0,27,26.53
246,0,0,0,0,2,0,R5,cs,0,0,27,26.53
247,0,0,0,0,2,0,R5,cs,0,0,27,26.53
248,0,0,0,0,2,0,R5,cs,0,0,27,26.53
249,0,0,0,0,2,0,R5,cs,0,0,27,26.53
250,0,0,0,0,2,0,R5,cs,0,0,27,26.53
251,0,0,0,2,0,0,R4,cs,0,0,18,26.53
252,0,0,0,2,0,0,R4,cs,0,0,18,26.53
253,0,0,0,2,0,0,R4,cs,0,0,18,26.53
254,0,0,0,2,0,0,R4,cs,0,0,18,26.53
255,0,0,0,2,0,0,R4,cs,0,0,18,26.53
256,0,0,0,2,0,0,R4,cs,0,0,18,26.53
257,0,0,0,2,0,0,R4,cs,0,0,18,26.53
258,0,0,0,2,0,0,R4,cs,0,0,18,26.53
259,0,0,0,2,0,0,R4,cs,0,0,18,26.53
260,0,0,0,2,0,0,R4,cs,0,0,18,26.53
261,0,0,0,2,0,0,R4,cs,0,0,18,26.53
262,0,0,0,2,0,0,R4,cs,0,0,18,26.53
263,0,0,0,2,0,0,R4,cs,0,0,18,26.53
264,0,0,0,2,0,0,R4,cs,0,0,18,26.53
265,0,0,0,2,0,0,R4,cs,0,0,18,26.53
266,0,0,0,2,0,0,R4,cs,0,0,18,26.53
267,0,0,0,2,0,0,R4,cs,0,0,18,26.53
268,0,0,0,2,0,0,R4,cs,0,0,18,26.53
269,0,0,0,2,0,0,R4,cs,0,0,18,26.53
270,0,0,0,2,0,0,R4,cs,0,0,18,26.53
271,0,0,0,2,0,0,R4,cs,0,0,18,26.53
272,0,0,0,2,0,0,R4,cs,0,0,18,26.53
273,0,0,0,2,0,0,R4,cs,0,0,18,26.53
274,0,0,0,2,0,0,R4,cs,0,0,18,26.53
275,0,0,0,2,0,0,R4,cs,0,0,18,26.53
276,0,0,0,2,0,0,R4,cs,0,0,18,26.53
277,0,0,0,2,0,0,R4,cs,0,0,18,26.53
278,0,0,0,2,0,0,R4,cs,0,0,18,26.53
279,0,0,0,2,0,0,R4,cs,0,0,18,26.53
280,0,0,0,2,0,0,R4,cs,0,0,18,26.53
281,0,0,0,2,0,0,R4,cs,0,0,18,26.53
282,0,0,0,2,0,0,R4,cs,0,0,18,26.53
283,0,0,0,2,0,0,R4,cs,0,0,18,26.53
284,0,0,0,2,0,0,R4,cs,0,0,18,26.53
285,0,0,0,2,0,0,R4,cs,0,0,18,26.53
286,0,0,0,2,0,0,R4,cs,0,0,18,26.53
287,0,0,0,2,0,0,R4,cs,0,0,18,26.53
288,0,0,0,2,0,0,R4,cs,0,0,18,26.53
289,0,0,0,2,0,0,R4,cs,0,0,18,26.53
290,0,0,0,2,0,0,R4,cs,0,0,18,26.53
291,0,0,0,2,0,0,R4,cs,0,0,18,26.53
292,0,0,0,2,0,0,R4,cs,0,0,18,26.53
293,0,0,0,2,0,0,R4,cs,0,0,18,26.53
294,0,0,0,2,0,0,R4,cs,0,0,18,26.53
295,0,0,0,2,0,0,R4,cs,0,0,18,26.53
296,0,0,0,2,0,0,R4,cs,0,0,18,26.53
297,0,0,0,2,0,0,R4,cs,0,0,18,26.53
298,0,0,0,2,0,0,R4,cs,0,0,18,26.53
299,0,0,0,2,0,0,R4,cs,0,0,18,26.53
300,0,0,0,2,0,0,R4,cs,0,0,18,26.53
301,0,0,2,0,0,0,R3,cs,0,0,9,25.44
302,0,0,2,0,0,0,R3,cs,0,0,9,25.44
303,0,0,2,0,0,0,R3,cs,0,0,9,25.44
304,0,0,2,0,0,0,R3,cs,0,0,9,25.44
305,0,0,2,0,0,0,R3,cs,0,0,9,25.44
306,0,0,2,0,0,0,R3,cs,0,0,9,25.44
307,0,0,2,0,0,0,R3,cs,0,0,9,25.44
308,0,0,2,0,0,0,R3,cs,0,0,9,25.44
309,0,0,2,0,0,0,R3,cs,0,0,9,25.44
310,0,0,2,0,0,0,R3,cs,0,0,9,25.44
311,0,0,2,0,0,0,R3,cs,0,0,9,25.44
312,0,0,2,0,0,0,R3,cs,0,0,9,25.44
313,0,0,2,0,0,0,R3,cs,0,0,9,25.44
314,0,0,2,0,0,0,R3,cs,0,0,9,25.44
315,0,0,2,0,0,0,R3,cs,0,0,9,25.44
316,0,0,2,0,0,0,R3,cs,0,0,9,25.44
317,0,0,2,0,0,0,R3,cs,0,0,9,25.44
318,0,0,2,0,0,0,R3,cs,0,0,9,25.44
319,0,0,2,0,0,0,R3,cs,0,0,9,25.44
320,0,0,2,0,0,0,R3,cs,0,0,9,25.44
321,0,0,2,0,0,0,R3,cs,0,0,9,25.44
322,0,0,2,0,0,0,R3,cs,0,0,9,25.44
323,0,0,2,0,0,0,R3,cs,0,0,9,25.44
324,0,0,2,0,0,0,R3,cs,0,0,9,25.44
325,0,0,2,0,0,0,R3,cs,0,0,9,25.44
326,0,0,2,0,0,0,R3,cs,0,0,9,25.44
327,0,0,2,0,0,0,R3,cs,0,0,9,25.44
328,0,0,2,0,0,0,R3,cs,0,0,9,25.44
329,0,0,2,0,0,0,R3,cs,0,0,9,25.44
330,0,0,2,0,0,0,R3,cs,0,0,9,25.44
331,0,0,2,0,0,0,R3,cs,0,0,9,25.44
332,0,0,2,0,0,0,R3,cs,0,0,9,25.44
333,0,0,2,0,0,0,R3,cs,0,0,9,25.44
334,0,0,2,0,0,0,R3,cs,0,0,9,25.44
335,0,0,2,0,0,0,R3,cs,0,0,9,25.44
336,0,0,2,0,0,0,R3,cs,0,0,9,25.44
337,0,0,2,0,0,0,R3,cs,0,0,9,25.44
338,0,0,2,0,0,0,R3,cs,0,0,9,25.44
339,0,0,2,0,0,0,R3,cs,0,0,9,25.44
340,0,0,2,0,0,0,R3,cs,0,0,9,25.44
341,0,0,2,0,0,0,R3,cs,0,0,9,25.44
342,0,0,2,0,0,0,R3,cs,0,0,9,25.44
343,0,0,2,0,0,0,R3,cs,0,0,9,25.44
344,0,0,2,0,0,0,R3,cs,0,0,9,25.44
345,0,0,2,0,0,0,R3,cs,0,0,9,25.44
346,0,0,2,0,0,0,R3,cs,0,0,9,25.44
347,0,0,2,0,0,0,R3,cs,0,0,9,25.44
348,0,0,2,0,0,0,R3,cs,0,0,9,25.44
349,0,0,2,0,0,0,R3,cs,0,0,9,25.44
350,0,0,2,0,0,0,R3,cs,0,0,9,25.44
351,0,0,2,0,0,0,R3,cs,0,0,9,25.44
352,0,0,2,0,0,0,R3,cs,0,0,9,25.44
353,0,0,2,0,0,0,R3,cs,0,0,9,25.44
354,0,0,2,0,0,0,R3,cs,0,0,9,25.44
355,0,0,2,0,0,0,R3,cs,0,0,9,25.44
356,0,0,2,0,0,0,R3,cs,0,0,9,25.44
357,0,0,2,0,0,0,R3,cs,0,0,9,25.44
358,0,0,2,0,0,0,R3,cs,0,0,9,25.44
359,0,0,2,0,0,0,R3,cs,0,0,9,25.44
360,0,0,2,0,0,0,R3,cs,0,0,9,25.44
361,0,0,2,0,0,0,R3,cs,0,0,9,25.44
362,0,0,2,0,0,0,R3,cs,0,0,9,25.44
363,0,0,2,0,0,0,R3,cs,0,0,9,25.44
364,0,0,2,0,0,0,R3,cs,0,0,9,25.44
365,0,0,2,0,0,0,R3,cs,0,0,9,25.44
366,0,0,2,0,0,0,R3,cs,0,0,9,25.44
367,0,0,2,0,0,0,R3,cs,0,0,9,25.44
368,0,0,2,0,0,0,R3,cs,0,0,9,25.44
369,0,0,2,0,0,0,R3,cs,0,0,9,25.44
370,0,0,2,0,0,0,R3,cs,0,0,9,25.44
371,0,0,2,0,0,0,R3,cs,0,0,9,25.44
372,0,0,2,0,0,0,R3,cs,0,0,9,25.44
373,0,0,2,0,0,0,R3,cs,0,0,9,25.44
374,0,0,2,0,0,0,R3,cs,0,0,9,25.44
375,0,0,2,0,0,0,R3,cs,0,0,9,25.44
376,0,0,2,0,0,0,R3,cs,0,0,9,25.44
377,0,0,2,0,0,0,R3,cs,0,0,9,25.44
378,0,0,2,0,0,0,R3,cs,0,0,9,25.44
379,0,0,2,0,0,0,R3,cs,0,0,9,25.44
380,0,0,2,0,0,0,R3,cs,0,0,9,25.44
381,0,0,2,0,0,0,R3,cs,0,0,9,25.44
382,0,0,2,0,0,0,R3,cs,0,0,9,25.44
383,0,0,2,0,0,0,R3,cs,0,0,9,25.44
384,0,0,2,0,0,0,R3,cs,0,0,9,25.44
385,0,0,2,0,0,0,R3,cs,0,0,9,25.44
386,0,0,2,0,0,0,R3,cs,0,0,9,25.44
387,0,0,2,0,0,0,R3,cs,0,0,9,25.44
388,0,0,2,0,0,0,R3,cs,0,0,9,25.44
389,0,0,2,0,0,0,R3,cs,0,0,9,25.44
390,0,0,2,0,0,0,R3,cs,0,0,9,25.44
391,0,0,2,0,0,0,R3,cs,0,0,9,25.44
392,0,0,2,0,0,0,R3,cs,0,0,9,25.44
393,0,0,2,0,0,0,R3,cs,0,0,9,25.44
394,0,0,2,0,0,0,R3,cs,0,0,9,25.44
395,0,0,2,0,0,0,R3,cs,0,0,9,25.44
396,0,0,2,0,0,0,R3,cs,0,0,9,25.44
397,0,0,2,0,0,0,R3,cs,0,0,9,25.44
398,0,0,2,0,0,0,R3,cs,0,0,9,25.44
399,0,0,2,0,0,0,R3,cs,0,0,9,25.44
400,0,0,2,0,0,0,R3,cs,0,0,9,25.44
